timeTaken,*****,accuracy,recall,precision,f_beta_score,specificity,tp,fn,fp,tn
143,607,890,865,918,891,917,45,7,4,44
144,602,870,902,852,876,837,46,5,8,41
145,603,910,923,906,914,896,48,4,5,43
146,597,810,824,808,816,796,42,9,10,39
147,615,860,818,918,865,911,45,10,4,41
148,617,890,887,904,895,894,47,6,5,42
149,615,890,885,902,893,896,46,6,5,43
150,596,770,755,800,777,787,40,13,10,37
151,596,870,857,906,881,886,48,8,5,39
152,599,850,804,891,845,898,41,10,5,44
153,602,860,840,875,857,880,42,8,6,44
154,597,870,904,855,879,833,47,5,8,40
155,604,890,863,917,889,918,44,7,4,45
156,596,920,939,902,920,902,46,3,5,46
157,597,930,961,907,933,898,49,2,5,44
158,596,890,840,933,884,940,42,8,3,47
159,613,860,815,917,863,913,44,10,4,42
160,597,890,882,900,891,898,45,6,5,44
161,596,880,849,918,882,915,45,8,4,43
162,602,820,782,878,827,867,43,12,6,39
163,599,830,830,846,838,830,44,9,8,39
164,598,880,868,902,885,894,46,7,5,42
165,607,910,885,939,911,938,46,6,3,45
166,589,900,906,906,906,894,48,5,5,42
167,607,850,804,918,857,909,45,11,4,40
168,601,880,833,938,882,935,45,9,3,43
169,604,920,907,942,925,935,49,5,3,43
170,605,860,837,872,854,882,41,8,6,45
171,600,840,796,867,830,882,39,10,6,45
172,603,850,846,863,854,854,44,8,7,41
173,602,860,818,918,865,911,45,10,4,41
174,597,840,865,833,849,813,45,7,9,39
175,601,880,887,887,887,872,47,6,6,41
176,598,850,792,913,848,915,42,11,4,43
177,595,890,873,923,897,911,48,7,4,41
178,593,890,857,941,897,932,48,8,3,41
179,619,910,833,1,000,909,1,000,45,9,46
180,598,840,855,855,855,822,47,8,8,37
181,599,860,759,1,000,863,1,000,44,14,42
182,597,790,714,889,792,886,40,16,5,39
183,600,860,800,936,863,933,44,11,3,42
184,598,840,800,898,846,889,44,11,5,40
185,598,900,907,907,907,891,49,5,5,41
186,598,900,880,917,898,920,44,6,4,46
187,596,860,849,882,865,872,45,8,6,41
188,623,900,904,904,904,896,47,5,5,43
189,598,880,865,900,882,896,45,7,5,43
190,598,830,827,843,835,833,43,9,8,40
191,602,830,778,894,832,891,42,12,5,41
192,598,850,811,896,851,894,43,10,5,42
193,599,850,811,896,851,894,43,10,5,42
194,599,840,820,854,837,860,41,9,7,43
195,597,870,788,953,863,958,41,11,2,46
196,600,900,887,922,904,915,47,6,4,43
197,618,900,887,922,904,915,47,6,4,43
198,598,830,788,872,828,875,41,11,6,42
199,601,920,889,960,923,957,48,6,2,44
200,596,850,796,915,851,913,43,11,4,42
201,603,900,868,939,902,936,46,7,3,44
202,597,790,784,800,792,796,40,11,10,39
203,593,800,846,786,815,750,44,8,12,36
204,598,840,846,846,846,833,44,8,8,40
205,609,830,815,863,838,848,44,10,7,39
206,597,870,849,900,874,894,45,8,5,42
207,593,920,940,904,922,900,47,3,5,45
208,602,850,830,880,854,872,44,9,6,41
209,598,840,818,882,849,867,45,10,6,39
210,598,870,846,898,871,896,44,8,5,43
211,600,840,778,913,840,913,42,12,4,42
212,601,840,778,913,840,913,42,12,4,42
213,615,810,789,865,826,837,45,12,7,36
214,596,800,811,811,811,787,43,10,10,37
215,599,860,885,852,868,833,46,6,8,40
216,596,860,852,885,868,870,46,8,6,40
217,598,840,830,863,846,851,44,9,7,40
218,597,780,768,827,796,795,43,13,9,35
219,596,860,855,887,870,867,47,8,6,39
220,596,830,776,918,841,905,45,13,4,38
221,612,850,815,898,854,891,44,10,5,41
222,598,890,875,925,899,909,49,7,4,40
223,601,870,852,902,876,891,46,8,5,41
224,593,830,865,818,841,792,45,7,10,38
225,598,890,889,906,897,891,48,6,5,41
226,596,810,759,872,812,870,41,13,6,40
227,596,910,889,941,914,935,48,6,3,43
228,608,860,833,900,865,891,45,9,5,41
229,601,860,796,935,860,935,43,11,3,43
230,597,890,836,958,893,956,46,9,2,43
231,596,830,788,872,828,875,41,11,6,42
232,597,820,918,763,833,725,45,4,14,37
233,595,870,873,889,881,867,48,7,6,39
234,598,930,961,907,933,898,49,2,5,44
235,603,870,846,898,871,896,44,8,5,43
236,597,870,833,918,874,913,45,9,4,42
237,599,780,759,820,788,804,41,13,9,37
238,596,820,857,792,824,784,42,7,11,40
239,597,840,810,904,855,881,47,11,5,37
240,596,860,811,915,860,915,43,10,4,43
241,593,880,846,917,880,917,44,8,4,44
242,608,880,833,938,882,935,45,9,3,43
243,602,880,855,922,887,911,47,8,4,41
244,602,870,865,882,874,875,45,7,6,42
245,597,850,815,898,854,891,44,10,5,41
246,597,880,873,906,889,889,48,7,5,40
247,597,810,782,860,819,844,43,12,7,38
248,596,880,804,978,882,977,45,11,1,43
249,611,850,849,865,857,851,45,8,7,40
250,598,820,870,810,839,761,47,7,11,35
251,600,890,833,957,891,957,45,9,2,44
252,596,870,818,938,874,933,45,10,3,42
253,597,900,830,978,898,979,44,9,1,46
254,599,880,836,939,885,933,46,9,3,42
255,618,900,882,918,900,918,45,6,4,45
256,602,880,846,917,880,917,44,8,4,44
257,599,820,846,815,830,792,44,8,10,38
258,596,880,878,878,878,882,43,6,6,45
259,597,860,855,887,870,867,47,8,6,39
260,596,900,868,939,902,936,46,7,3,44
261,609,870,865,882,874,875,45,7,6,42
262,599,940,906,980,941,979,48,5,1,46
263,598,850,808,894,848,896,42,10,5,43
264,596,910,904,922,913,917,47,5,4,44
265,597,860,786,957,863,955,44,12,2,42
266,596,870,782,977,869,978,43,12,1,44
267,612,890,870,922,895,913,47,7,4,42
268,596,790,824,778,800,755,42,9,12,37
269,596,810,808,824,816,813,42,10,9,39
270,595,880,852,920,885,913,46,8,4,42
271,594,860,873,873,873,844,48,7,7,38
272,596,840,849,849,849,830,45,8,8,39
273,617,890,863,917,889,918,44,7,4,45
274,598,850,800,917,854,911,44,11,4,41
275,597,880,863,898,880,898,44,7,5,44
276,598,880,878,878,878,882,43,6,6,45
277,595,850,836,885,860,867,46,9,6,39
278,601,790,768,843,804,818,43,13,8,36
279,598,870,865,882,874,875,45,7,6,42
280,599,880,868,902,885,894,46,7,5,42
281,596,820,808,840,824,833,42,10,8,40
282,602,870,815,936,871,935,44,10,3,43
283,610,850,807,920,860,907,46,11,4,39
284,595,840,852,852,852,826,46,8,8,38
285,596,790,824,778,800,755,42,9,12,37
286,595,810,741,915,819,905,43,15,4,38
287,597,860,836,902,868,889,46,9,5,40
288,602,850,800,917,854,911,44,11,4,41
289,601,870,855,904,879,889,47,8,5,40
290,599,850,868,852,860,830,46,7,8,39
291,596,840,873,842,857,800,48,7,9,36
292,594,880,880,880,880,880,44,6,6,44
293,611,800,741,870,800,870,40,14,6,40
294,596,850,833,882,857,870,45,9,6,40
295,596,900,889,923,906,913,48,6,4,42
296,596,850,833,882,857,870,45,9,6,40
297,595,880,868,902,885,894,46,7,5,42
298,616,880,811,956,878,957,43,10,2,45
299,594,860,800,909,851,920,40,10,4,46
300,591,890,852,939,893,935,46,8,3,43
301,595,840,836,868,852,844,46,9,7,38
302,588,840,782,915,843,911,43,12,4,41
303,607,830,796,878,835,870,43,11,6,40
304,596,850,811,896,851,894,43,10,5,42
305,608,850,830,880,854,872,44,9,6,41
306,597,860,843,878,860,878,43,8,6,43
307,605,920,900,938,918,940,45,5,3,47
308,595,860,759,976,854,978,41,13,1,45
309,595,840,863,830,846,816,44,7,9,40
310,596,940,960,923,941,920,48,2,4,46
311,606,840,833,865,849,848,45,9,7,39
312,597,770,764,808,785,778,42,13,10,35
313,598,840,789,918,849,907,45,12,4,39
314,597,870,868,885,876,872,46,7,6,41
315,603,860,824,894,857,898,42,9,5,44
316,595,870,833,918,874,913,45,9,4,42
317,595,890,889,906,897,891,48,6,5,41
318,596,830,780,920,844,902,46,13,4,37
319,607,850,815,898,854,891,44,10,5,41
320,599,810,727,909,808,911,40,15,4,41
321,597,870,846,898,871,896,44,8,5,43
322,599,850,789,938,857,930,45,12,3,40
323,606,820,818,849,833,822,45,10,8,37
324,596,830,824,840,832,837,42,9,8,41
325,595,850,774,932,845,936,41,12,3,44
326,596,910,940,887,913,880,47,3,6,44
327,604,870,846,898,871,896,44,8,5,43
328,595,910,923,906,914,896,48,4,5,43
329,595,850,882,833,857,816,45,6,9,40
330,602,840,732,976,837,977,41,15,1,43
331,596,820,846,815,830,792,44,8,10,38
332,596,840,816,851,833,863,40,9,7,44
333,599,870,902,852,876,837,46,5,8,41
334,595,860,808,913,857,917,42,10,4,44
335,595,880,868,902,885,894,46,7,5,42
336,603,870,915,827,869,830,43,4,9,44
337,596,850,792,913,848,915,42,11,4,43
338,595,920,900,938,918,940,45,5,3,47
339,596,850,849,865,857,851,45,8,7,40
340,605,900,849,957,900,957,45,8,2,45
341,601,850,846,863,854,854,44,8,7,41
342,596,820,759,891,820,891,41,13,5,41
343,603,730,750,736,743,708,39,13,14,34
344,617,840,815,880,846,870,44,10,6,40
345,595,830,833,849,841,826,45,9,8,38
346,595,870,863,880,871,878,44,7,6,43
347,597,810,774,854,812,851,41,12,7,40
348,606,840,827,860,843,854,43,9,7,41
349,596,870,840,894,866,900,42,8,5,45
350,594,870,900,849,874,840,45,5,8,42
351,595,830,786,898,838,886,44,12,5,39
352,609,850,815,898,854,891,44,10,5,41
353,594,870,800,957,871,956,44,11,2,43
354,593,830,786,898,838,886,44,12,5,39
355,600,900,906,906,906,894,48,5,5,42
356,596,860,833,900,865,891,45,9,5,41
357,602,840,827,860,843,854,43,9,7,41
358,598,860,836,902,868,889,46,9,5,40
359,604,820,800,863,830,844,44,11,7,38
360,596,820,800,863,830,844,44,11,7,38
361,595,860,846,880,863,875,44,8,6,42
362,597,830,804,854,828,857,41,10,7,42
363,607,830,827,843,835,833,43,9,8,40
364,595,880,920,852,885,840,46,4,8,42
365,593,870,863,880,871,878,44,7,6,43
366,615,900,889,923,906,913,48,6,4,42
367,594,900,868,939,902,936,46,7,3,44
368,594,850,815,898,854,891,44,10,5,41
369,604,930,941,923,932,918,48,3,4,45
370,588,850,800,917,854,911,44,11,4,41
371,594,820,719,953,820,953,41,16,2,41
372,595,830,839,855,847,818,47,9,8,36
373,602,860,818,918,865,911,45,10,4,41
374,595,870,811,935,869,936,43,10,3,44
375,595,790,755,804,779,824,37,12,9,42
376,590,850,833,882,857,870,45,9,6,40
377,594,820,782,878,827,867,43,12,6,39
378,603,850,865,849,857,833,45,7,8,40
379,595,830,786,898,838,886,44,12,5,39
380,594,840,824,857,840,857,42,9,7,42
381,588,840,849,849,849,830,45,8,8,39
382,596,910,902,920,911,918,46,5,4,45
383,628,850,860,843,851,840,43,7,8,42
384,595,860,833,900,865,891,45,9,5,41
385,595,850,833,882,857,870,45,9,6,40
386,595,860,842,906,873,884,48,9,5,38
387,603,830,759,911,828,913,41,13,4,42
388,595,860,808,913,857,917,42,10,4,44
389,594,840,759,932,837,935,41,13,3,43
390,596,810,804,820,812,816,41,10,9,40
391,595,840,843,843,843,837,43,8,8,41
392,615,860,811,915,860,915,43,10,4,43
393,596,860,821,920,868,909,46,10,4,40
394,594,780,729,878,796,854,43,16,6,35
395,595,830,811,860,835,851,43,10,7,40
396,603,910,941,889,914,878,48,3,6,43
397,591,890,906,889,897,872,48,5,6,41
398,596,860,880,846,863,840,44,6,8,42
399,594,880,857,923,889,909,48,8,4,40
400,617,870,774,976,863,979,41,12,1,46
401,600,880,843,915,878,918,43,8,4,45
402,595,840,764,933,840,933,42,13,3,42
403,599,800,732,891,804,886,41,15,5,39
404,596,810,811,827,819,809,43,10,9,38
405,600,860,865,865,865,854,45,7,7,41
406,609,790,769,816,792,813,40,12,9,39
407,592,880,830,936,880,936,44,9,3,44
408,598,850,824,875,848,878,42,9,6,43
409,594,840,741,977,843,976,43,15,1,41
410,599,830,818,865,841,844,45,10,7,38
411,598,860,882,849,865,837,45,6,8,41
412,596,860,873,873,873,844,48,7,7,38
413,599,900,868,939,902,936,46,7,3,44
414,599,840,868,836,852,809,46,7,9,38
415,607,850,815,898,854,891,44,10,5,41
416,597,870,846,898,871,896,44,8,5,43
417,594,910,904,922,913,917,47,5,4,44
418,594,840,821,885,852,864,46,10,6,38
419,605,830,793,902,844,881,46,12,5,37
420,590,890,906,889,897,872,48,5,6,41
421,595,870,843,896,869,898,43,8,5,44
422,594,810,800,846,822,822,44,11,8,37
423,609,840,827,860,843,854,43,9,7,41
424,595,850,857,873,865,841,48,8,7,37
425,595,850,800,917,854,911,44,11,4,41
426,597,870,811,935,869,936,43,10,3,44
427,610,880,882,882,882,878,45,6,6,43
428,596,830,852,836,844,804,46,8,9,37
429,595,870,880,863,871,860,44,6,7,43
430,594,810,840,792,816,780,42,8,11,39
431,610,870,900,849,874,840,45,5,8,42
432,596,850,839,887,862,864,47,9,6,38
433,596,800,724,913,808,905,42,16,4,38
434,598,890,868,920,893,915,46,7,4,43
435,594,740,643,857,735,864,36,20,6,38
436,594,780,800,800,800,756,44,11,11,34
437,594,860,889,857,873,826,48,6,8,38
438,605,860,827,896,860,896,43,9,5,43
439,594,890,887,904,895,894,47,6,5,42
440,594,890,873,923,897,911,48,7,4,41
441,597,870,882,865,874,857,45,6,7,42
442,605,820,755,889,816,894,40,13,5,42
443,598,830,849,833,841,809,45,8,9,38
444,597,850,792,913,848,915,42,11,4,43
445,595,840,827,860,843,854,43,9,7,41
446,604,730,727,769,748,733,40,15,12,33
447,598,880,880,880,880,880,44,6,6,44
448,595,890,870,922,895,913,47,7,4,42
449,596,870,939,821,876,804,46,3,10,41
450,604,910,870,959,913,957,47,7,2,44
451,596,830,820,837,828,840,41,9,8,42
452,594,900,868,939,902,936,46,7,3,44
453,605,890,902,885,893,878,46,5,6,43
454,595,870,904,855,879,833,47,5,8,40
455,594,870,849,900,874,894,45,8,5,42
456,595,840,784,889,833,898,40,11,5,44
457,607,890,830,957,889,957,44,9,2,45
458,595,850,808,894,848,896,42,10,5,43
459,599,840,833,833,833,846,40,8,8,44
460,619,850,827,878,851,875,43,9,6,42
461,594,820,815,846,830,826,44,10,8,38
462,597,840,745,953,837,956,41,14,2,43
463,602,880,889,889,889,870,48,6,6,40
464,597,930,923,941,932,938,48,4,3,45
465,594,860,824,894,857,898,42,9,5,44
466,604,790,796,811,804,783,43,11,10,36
467,594,870,810,959,879,952,47,11,2,40
468,595,910,863,957,907,959,44,7,2,47
469,602,880,846,917,880,917,44,8,4,44
470,593,830,807,885,844,860,46,11,6,37
471,595,870,882,865,874,857,45,6,7,42
472,594,850,880,830,854,820,44,6,9,41
473,605,880,852,920,885,913,46,8,4,42
474,597,780,776,833,804,786,45,13,9,33
475,596,870,842,923,881,907,48,9,4,39
476,594,860,836,902,868,889,46,9,5,40
477,597,940,923,960,941,958,48,4,2,46
478,608,870,821,939,876,932,46,10,3,41
479,596,910,900,918,909,920,45,5,4,46
480,594,900,868,939,902,936,46,7,3,44
481,596,780,737,857,792,837,42,15,7,36
482,603,870,820,911,863,920,41,9,4,46
483,594,790,723,810,764,849,34,13,8,45
484,594,890,873,923,897,911,48,7,4,41
485,595,880,885,885,885,875,46,6,6,42
486,592,930,940,922,931,920,47,3,4,46
487,597,930,882,978,928,980,45,6,1,48
488,617,900,868,939,902,936,46,7,3,44
489,595,840,820,854,837,860,41,9,7,43
490,599,850,873,857,865,822,48,7,8,37
491,593,800,778,840,808,826,42,12,8,38
492,594,880,902,868,885,857,46,5,7,42
493,607,860,818,918,865,911,45,10,4,41
494,593,910,906,923,914,915,48,5,4,43
495,590,850,774,932,845,936,41,12,3,44
