timeTaken,*****,accuracy,recall,precision,f_beta_score,specificity,tp,fn,fp,tn
630,606,820,792,857,824,851,42,11,7,40
631,593,870,843,896,869,898,43,8,5,44
632,593,860,843,878,860,878,43,8,6,43
633,592,830,782,896,835,889,43,12,5,40
634,593,850,857,840,848,843,42,7,8,43
635,599,860,830,898,863,894,44,9,5,42
636,593,840,827,860,843,854,43,9,7,41
637,594,860,846,880,863,875,44,8,6,42
638,593,880,865,900,882,896,45,7,5,43
639,610,880,880,880,880,880,44,6,6,44
640,593,840,759,932,837,935,41,13,3,43
641,594,820,792,857,824,851,42,11,7,40
642,594,890,900,882,891,880,45,5,6,44
643,594,860,808,913,857,917,42,10,4,44
644,602,890,875,894,884,904,42,6,5,47
645,594,930,923,941,932,938,48,4,3,45
646,592,820,824,824,824,816,42,9,9,40
647,594,830,789,900,841,884,45,12,5,38
648,607,810,797,870,832,829,47,12,7,34
649,594,870,880,863,871,860,44,6,7,43
650,595,840,792,894,840,894,42,11,5,42
651,593,880,852,920,885,913,46,8,4,42
652,603,910,887,940,913,936,47,6,3,44
653,596,910,906,923,914,915,48,5,4,43
654,594,880,863,898,880,898,44,7,5,44
655,594,880,900,865,882,860,45,5,7,43
656,602,860,808,913,857,917,42,10,4,44
657,593,830,780,867,821,880,39,11,6,44
658,593,920,940,904,922,900,47,3,5,45
659,597,840,915,782,843,774,43,4,12,41
660,594,890,870,922,895,913,47,7,4,42
661,593,900,889,923,906,913,48,6,4,42
662,594,860,865,865,865,854,45,7,7,41
663,602,830,811,860,835,851,43,10,7,40
664,595,830,786,898,838,886,44,12,5,39
665,594,880,825,959,887,953,47,10,2,41
666,604,860,852,885,868,870,46,8,6,40
667,593,840,789,918,849,907,45,12,4,39
668,593,910,868,958,911,957,46,7,2,45
669,590,870,815,936,871,935,44,10,3,43
670,610,840,767,958,852,950,46,14,2,38
671,596,930,922,940,931,939,47,4,3,46
672,598,880,870,904,887,891,47,7,5,41
673,593,890,902,885,893,878,46,5,6,43
674,602,870,873,889,881,867,48,7,6,39
675,597,820,863,800,830,776,44,7,11,38
676,593,860,818,918,865,911,45,10,4,41
677,593,840,804,872,837,878,41,10,6,43
678,605,820,815,846,830,826,44,10,8,38
679,593,850,778,933,848,935,42,12,3,43
680,593,850,796,915,851,913,43,11,4,42
681,593,940,941,941,941,939,48,3,3,46
682,602,890,852,939,893,935,46,8,3,43
683,596,880,857,923,889,909,48,8,4,40
684,593,810,804,849,826,818,45,11,8,36
685,593,820,804,865,833,841,45,11,7,37
686,591,820,833,833,833,804,45,9,9,37
687,608,840,843,843,843,837,43,8,8,41
688,594,820,811,843,827,830,43,10,8,39
689,594,930,959,904,931,902,47,2,5,46
690,593,800,754,878,811,860,43,14,6,37
691,601,860,870,870,870,848,47,7,7,39
692,594,790,750,857,800,841,42,14,7,37
693,596,800,811,811,811,787,43,10,10,37
694,594,820,830,830,830,809,44,9,9,38
695,604,900,885,920,902,917,46,6,4,44
696,594,880,827,935,878,938,43,9,3,45
697,593,910,868,958,911,957,46,7,2,45
698,593,840,852,852,852,826,46,8,8,38
699,593,850,840,857,848,860,42,8,7,43
700,596,870,821,939,876,932,46,10,3,41
701,594,890,852,939,893,935,46,8,3,43
702,596,880,922,855,887,837,47,4,8,41
703,594,830,788,872,828,875,41,11,6,42
704,602,840,830,863,846,851,44,9,7,40
705,592,830,815,863,838,848,44,10,7,39
706,592,900,830,978,898,979,44,9,1,46
707,592,880,849,918,882,915,45,8,4,43
708,601,890,821,979,893,977,46,10,1,43
709,593,850,792,913,848,915,42,11,4,43
710,594,910,870,959,913,957,47,7,2,44
711,601,900,855,959,904,956,47,8,2,43
712,594,880,870,904,887,891,47,7,5,41
713,602,840,855,855,855,822,47,8,8,37
714,593,840,808,875,840,875,42,10,6,42
715,592,880,887,887,887,872,47,6,6,41
716,596,890,846,936,889,938,44,8,3,45
717,608,880,857,894,875,902,42,7,5,46
718,593,820,808,840,824,833,42,10,8,40
719,596,880,833,938,882,935,45,9,3,43
720,593,880,839,940,887,932,47,9,3,41
721,600,850,774,932,845,936,41,12,3,44
722,593,880,821,958,885,955,46,10,2,42
723,593,840,830,863,846,851,44,9,7,40
724,596,880,849,918,882,915,45,8,4,43
725,598,940,925,961,942,957,49,4,2,45
726,593,890,957,833,891,830,45,2,9,44
727,596,860,821,920,868,909,46,10,4,40
728,593,820,786,880,830,864,44,12,6,38
729,601,860,880,846,863,840,44,6,8,42
730,592,830,825,870,847,837,47,10,7,36
731,592,840,792,894,840,894,42,11,5,42
732,593,850,833,882,857,870,45,9,6,40
733,602,820,833,833,833,804,45,9,9,37
734,593,890,863,917,889,918,44,7,4,45
735,595,880,852,920,885,913,46,8,4,42
736,592,840,849,849,849,830,45,8,8,39
737,671,820,769,870,816,875,40,12,6,42
738,594,860,815,917,863,913,44,10,4,42
739,596,790,737,875,800,860,42,15,6,37
740,592,880,904,870,887,854,47,5,7,41
741,598,850,878,827,851,824,43,6,9,42
742,593,800,824,792,808,776,42,9,11,38
743,592,920,923,923,923,917,48,4,4,44
744,596,820,840,808,824,800,42,8,10,40
745,598,910,873,960,914,956,48,7,2,43
746,592,840,836,868,852,844,46,9,7,38
747,592,880,865,900,882,896,45,7,5,43
748,592,850,811,896,851,894,43,10,5,42
749,593,880,870,904,887,891,47,7,5,41
750,602,840,827,860,843,854,43,9,7,41
751,592,840,804,872,837,878,41,10,6,43
752,596,920,887,959,922,957,47,6,2,45
753,592,850,855,870,862,844,47,8,7,38
754,594,840,833,865,849,848,45,9,7,39
755,603,930,960,906,932,900,48,2,5,45
756,589,880,833,938,882,935,45,9,3,43
757,592,850,833,882,857,870,45,9,6,40
758,598,920,904,940,922,938,47,5,3,45
759,595,900,887,922,904,915,47,6,4,43
760,605,890,815,978,889,978,44,10,1,45
761,589,840,796,867,830,882,39,10,6,45
762,591,860,815,917,863,913,44,10,4,42
763,596,870,882,865,874,857,45,6,7,42
764,593,870,849,900,874,894,45,8,5,42
765,608,800,789,849,818,814,45,12,8,35
766,592,890,904,887,895,875,47,5,6,42
767,606,830,759,911,828,913,41,13,4,42
768,596,870,840,894,866,900,42,8,5,45
769,593,830,820,837,828,840,41,9,8,42
770,592,890,882,900,891,898,45,6,5,44
771,593,890,923,873,897,854,48,4,7,41
772,592,850,800,917,854,911,44,11,4,41
773,604,830,800,880,838,867,44,11,6,39
774,592,880,849,918,882,915,45,8,4,43
775,593,910,902,920,911,918,46,5,4,45
776,592,880,842,941,889,930,48,9,3,40
777,594,910,852,979,911,978,46,8,1,45
778,596,870,842,923,881,907,48,9,4,39
779,592,850,852,868,860,848,46,8,7,39
780,590,870,849,900,874,894,45,8,5,42
781,590,780,808,778,792,750,42,10,12,36
782,592,850,833,882,857,870,45,9,6,40
783,593,870,789,978,874,977,45,12,1,42
784,605,890,889,906,897,891,48,6,5,41
785,595,900,887,922,904,915,47,6,4,43
786,594,940,923,960,941,958,48,4,2,46
787,592,840,827,860,843,854,43,9,7,41
788,595,870,833,918,874,913,45,9,4,42
789,595,870,818,938,874,933,45,10,3,42
790,605,810,804,820,812,816,41,10,9,40
791,592,910,846,978,907,979,44,8,1,47
792,592,880,870,904,887,891,47,7,5,41
793,593,860,872,837,854,849,41,6,8,45
794,593,810,849,804,826,766,45,8,11,36
795,599,880,833,938,882,935,45,9,3,43
796,593,810,764,875,816,867,42,13,6,39
797,593,850,824,875,848,878,42,9,6,43
798,593,890,880,898,889,900,44,6,5,45
799,595,830,815,863,838,848,44,10,7,39
800,604,840,860,827,843,820,43,7,9,41
801,592,860,863,863,863,857,44,7,7,42
802,592,890,885,902,893,896,46,6,5,43
803,592,760,740,771,755,780,37,13,11,39
804,596,860,898,830,863,824,44,5,9,42
805,603,850,830,880,854,872,44,9,6,41
806,593,840,818,882,849,867,45,10,6,39
807,596,790,733,898,807,875,44,16,5,35
808,594,880,821,958,885,955,46,10,2,42
809,592,840,843,843,843,837,43,8,8,41
810,592,910,940,887,913,880,47,3,6,44
811,600,850,833,882,857,870,45,9,6,40
812,593,910,902,920,911,918,46,5,4,45
813,588,900,923,889,906,875,48,4,6,42
814,597,840,825,887,855,860,47,10,6,37
815,612,850,830,880,854,872,44,9,6,41
816,590,750,745,760,752,755,38,13,12,37
817,610,860,818,918,865,911,45,10,4,41
818,591,900,885,920,902,917,46,6,4,44
819,590,850,852,868,860,848,46,8,7,39
820,600,890,885,902,893,896,46,6,5,43
821,601,850,792,913,848,915,42,11,4,43
822,602,850,836,885,860,867,46,9,6,39
823,609,840,840,840,840,840,42,8,8,42
824,596,870,857,875,866,882,42,7,6,45
825,597,840,815,880,846,870,44,10,6,40
826,596,900,887,922,904,915,47,6,4,43
827,599,850,880,830,854,820,44,6,9,41
828,605,850,846,863,854,854,44,8,7,41
829,607,920,909,943,926,933,50,5,3,42
830,624,880,846,917,880,917,44,8,4,44
831,599,870,830,917,871,915,44,9,4,43
832,593,910,880,936,907,940,44,6,3,47
833,588,850,800,917,854,911,44,11,4,41
834,596,890,885,902,893,896,46,6,5,43
835,597,900,887,922,904,915,47,6,4,43
836,592,870,849,900,874,894,45,8,5,42
837,607,810,800,846,822,822,44,11,8,37
838,594,810,774,854,812,851,41,12,7,40
839,593,870,830,917,871,915,44,9,4,43
840,596,890,870,922,895,913,47,7,4,42
841,592,860,811,915,860,915,43,10,4,43
842,609,870,849,900,874,894,45,8,5,42
843,582,910,941,889,914,878,48,3,6,43
844,586,870,818,938,874,933,45,10,3,42
845,592,840,792,894,840,894,42,11,5,42
846,592,850,923,814,865,771,48,4,11,37
847,591,820,782,878,827,867,43,12,6,39
848,593,880,843,915,878,918,43,8,4,45
849,605,830,808,857,832,854,42,10,7,41
850,591,790,827,782,804,750,43,9,12,36
851,584,890,846,936,889,938,44,8,3,45
852,584,850,860,843,851,840,43,7,8,42
853,593,920,885,958,920,958,46,6,2,46
854,593,830,868,821,844,787,46,7,10,37
855,594,830,750,907,821,917,39,13,4,44
856,605,790,746,880,807,854,44,15,6,35
857,587,870,870,887,879,870,47,7,6,40
858,596,940,942,942,942,938,49,3,3,45
859,593,870,849,900,874,894,45,8,5,42
860,586,890,906,889,897,872,48,5,6,41
861,589,880,833,938,882,935,45,9,3,43
862,596,830,836,852,844,822,46,9,8,37
863,601,890,868,920,893,915,46,7,4,43
864,595,810,811,827,819,809,43,10,9,38
865,594,830,750,933,832,932,42,14,3,41
866,601,850,796,915,851,913,43,11,4,42
867,593,860,833,900,865,891,45,9,5,41
868,591,860,804,911,854,918,41,10,4,45
869,604,840,833,865,849,848,45,9,7,39
870,593,840,868,836,852,809,46,7,9,38
871,592,910,907,925,916,913,49,5,4,42
872,593,830,824,840,832,837,42,9,8,41
873,590,810,788,837,812,833,41,11,8,40
874,588,830,836,852,844,822,46,9,8,37
875,592,870,918,833,874,824,45,4,9,42
876,593,870,830,917,871,915,44,9,4,43
877,606,910,906,923,914,915,48,5,4,43
878,594,910,891,942,916,933,49,6,3,42
879,594,890,821,979,893,977,46,10,1,43
880,593,900,868,939,902,936,46,7,3,44
881,595,880,922,855,887,837,47,4,8,41
882,589,820,827,827,827,813,43,9,9,39
883,593,840,750,955,840,955,42,14,2,42
884,602,830,811,860,835,851,43,10,7,40
885,592,810,800,846,822,822,44,11,8,37
886,593,860,887,855,870,830,47,6,8,39
887,593,840,796,896,843,891,43,11,5,41
888,591,880,830,936,880,936,44,9,3,44
889,592,850,827,878,851,875,43,9,6,42
890,592,830,818,865,841,844,45,10,7,38
891,597,870,827,915,869,917,43,9,4,44
892,593,870,863,880,871,878,44,7,6,43
893,592,820,764,894,824,889,42,13,5,40
894,596,830,852,836,844,804,46,8,9,37
895,598,900,870,940,904,935,47,7,3,43
896,594,840,811,878,843,872,43,10,6,41
897,593,900,900,900,900,900,45,5,5,45
898,592,850,754,977,851,977,43,14,1,42
899,618,860,878,843,860,843,43,6,8,43
900,593,930,868,1,000,929,1,000,46,7,47
901,592,840,784,889,833,898,40,11,5,44
902,591,910,878,935,905,941,43,6,3,48
903,592,860,863,863,863,857,44,7,7,42
904,593,870,827,915,869,917,43,9,4,44
905,592,870,870,887,879,870,47,7,6,40
906,606,880,852,920,885,913,46,8,4,42
907,592,880,842,941,889,930,48,9,3,40
908,589,870,824,913,866,918,42,9,4,45
909,589,830,885,807,844,771,46,6,11,37
910,592,910,941,889,914,878,48,3,6,43
911,591,860,808,913,857,917,42,10,4,44
912,592,910,868,958,911,957,46,7,2,45
913,600,830,774,941,850,921,48,14,3,35
914,592,870,887,870,879,851,47,6,7,40
915,596,850,852,868,860,848,46,8,7,39
916,592,840,818,882,849,867,45,10,6,39
917,597,870,804,957,874,955,45,11,2,42
918,592,810,846,800,822,771,44,8,11,37
919,590,860,865,865,865,854,45,7,7,41
920,594,860,863,863,863,857,44,7,7,42
921,613,880,849,918,882,915,45,8,4,43
922,594,850,843,860,851,857,43,8,7,42
923,592,840,815,880,846,870,44,10,6,40
924,593,790,774,820,796,809,41,12,9,38
925,593,860,868,868,868,851,46,7,7,40
926,592,890,925,875,899,851,49,4,7,40
927,592,870,849,900,874,894,45,8,5,42
928,592,840,840,840,840,840,42,8,8,42
929,612,840,868,836,852,809,46,7,9,38
930,593,910,960,873,914,860,48,2,7,43
931,592,860,843,878,860,878,43,8,6,43
932,593,880,788,976,872,979,41,11,1,47
933,597,840,849,849,849,830,45,8,8,39
934,589,910,907,925,916,913,49,5,4,42
935,591,880,891,891,891,867,49,6,6,39
936,592,890,900,882,891,880,45,5,6,44
937,600,880,840,913,875,920,42,8,4,46
938,600,820,788,854,820,854,41,11,7,41
939,592,850,843,860,851,857,43,8,7,42
940,591,910,868,958,911,957,46,7,2,45
941,594,880,807,979,885,977,46,11,1,42
942,591,870,840,894,866,900,42,8,5,45
943,592,860,833,900,865,891,45,9,5,41
944,591,860,818,918,865,911,45,10,4,41
945,613,890,855,940,895,933,47,8,3,42
946,588,860,849,882,865,872,45,8,6,41
947,592,880,904,870,887,854,47,5,7,41
948,599,910,875,961,916,955,49,7,2,42
949,589,890,827,956,887,958,43,9,2,46
950,593,850,870,855,862,826,47,7,8,38
951,596,800,800,830,815,800,44,11,9,36
952,588,910,870,959,913,957,47,7,2,44
953,603,850,882,833,857,816,45,6,9,40
954,591,810,776,882,826,857,45,13,6,36
955,588,860,870,870,870,848,47,7,7,39
956,593,790,722,867,788,870,39,15,6,40
957,591,830,836,852,844,822,46,9,8,37
958,596,870,852,902,876,891,46,8,5,41
959,591,860,796,935,860,935,43,11,3,43
960,590,870,852,902,876,891,46,8,5,41
961,602,820,764,894,824,889,42,13,5,40
962,591,860,827,896,860,896,43,9,5,43
963,594,810,768,878,819,864,43,13,6,38
964,592,910,940,887,913,880,47,3,6,44
965,589,910,857,980,914,977,48,8,1,43
966,595,890,906,889,897,872,48,5,6,41
967,592,890,923,873,897,854,48,4,7,41
968,592,830,792,875,832,872,42,11,6,41
969,601,840,782,915,843,911,43,12,4,41
970,593,830,765,886,821,898,39,12,5,44
971,588,800,741,896,811,881,43,15,5,37
972,586,880,865,900,882,896,45,7,5,43
973,586,840,786,917,846,909,44,12,4,40
974,586,850,768,956,851,955,43,13,2,42
975,589,860,902,836,868,816,46,5,9,40
976,592,820,902,780,836,735,46,5,13,36
977,598,850,865,849,857,833,45,7,8,40
978,592,770,778,792,785,761,42,12,11,35
979,591,850,836,885,860,867,46,9,6,39
980,592,820,792,857,824,851,42,11,7,40
981,590,880,868,902,885,894,46,7,5,42
982,591,850,804,918,857,909,45,11,4,40
983,592,790,759,837,796,826,41,13,8,38
984,593,920,902,939,920,939,46,5,3,46
985,592,900,925,891,907,872,49,4,6,41
986,609,890,811,977,887,979,43,10,1,46
987,592,850,789,938,857,930,45,12,3,40
988,592,850,800,917,854,911,44,11,4,41
989,592,900,846,957,898,958,44,8,2,46
990,593,940,944,944,944,935,51,3,3,43
991,592,930,885,979,929,979,46,6,1,47
992,593,860,778,955,857,957,42,12,2,44
993,591,810,865,789,826,750,45,7,12,36
994,605,910,887,940,913,936,47,6,3,44
995,594,870,855,904,879,889,47,8,5,40
996,593,910,882,938,909,939,45,6,3,46
997,592,830,843,827,835,816,43,8,9,40
998,593,900,891,925,907,911,49,6,4,41
999,593,820,811,843,827,830,43,10,8,39
